,max_depth,sessions_count,sessions_typ_count
1514,1687,1,0
1515,1688,1,0
1516,1689,2,0
1517,1690,3,0
1518,1692,1,0
1519,1693,1,0
1520,1695,1,0
1521,1696,1,0
1522,1697,1,0
1523,1698,1,0
1524,1700,1,0
1525,1705,5,0
1526,1706,2,0
1527,1707,1,0
1528,1710,1,0
1529,1712,2,0
1530,1713,1,0
1531,1715,1,0
1532,1717,1,0
1533,1718,1,0
1534,1719,1,0
1535,1720,1,0
1536,1722,2,0
1537,1723,3,0
1538,1724,2,0
1539,1725,1,0
1540,1726,1,0
1541,1727,1,0
1542,1730,2,0
1543,1731,1,0
1544,1732,2,0
1545,1733,2,0
1546,1734,1,0
1547,1735,2,1
1548,1736,1,0
1549,1737,1,0
1550,1739,1,0
1551,1741,4,0
1552,1742,2,0
1553,1743,4,0
1554,1744,1,0
1555,1745,1,0
1556,1746,1,0
1557,1747,1,0
1558,1748,1,0
1559,1749,1,0
1560,1750,3,0
1561,1753,1,0
1562,1755,2,0
1563,1756,2,1
1564,1758,2,0
1565,1759,1,0
1566,1762,1,0
1567,1763,2,0
1568,1764,1,0
1569,1765,1,0
1570,1766,1,0
1571,1767,1,0
1572,1768,1,0
1573,1769,2,0
1574,1771,1,1
1575,1772,2,0
1576,1773,1,0
1577,1776,1,0
1578,1777,2,0
1579,1778,2,0
1580,1780,2,0
